Day;SKU;QTY
21;14;7
22;9;24
22;19;14
22;34;9
17;20;7
17;2;2
17;11;14
18;19;4
18;12;3
18;50;8
18;57;2
18;40;1
18;2;1
19;57;1
19;19;6
19;4;1
19;48;3
19;45;4
19;34;4
19;35;1
19;15;13
283;29;2
283;14;10
283;49;3
283;23;1
283;54;12
283;60;6
284;10;4
284;16;5
285;40;9
285;55;12
204;55;1
285;41;1
285;43;2
285;20;2
286;10;2
286;11;6
286;40;8
286;2;2
286;13;2
286;60;3
286;44;1
286;12;1
287;34;1
288;3;1
288;51;1
288;52;7
288;48;1
288;40;16
288;43;2
288;13;1
288;39;16
289;40;31
289;22;2
289;25;2
289;52;1
289;43;2
289;10;5
289;23;1
290;4;1
290;60;6
290;8;1
290;33;2
290;40;15
290;38;19
215;55;6
291;16;3
292;35;1
292;15;7
292;5;1
292;11;6
292;60;4
293;25;2
293;11;4
293;20;4
293;16;5
293;54;11
293;8;2
293;57;1
294;15;10
294;51;2
294;49;2
294;50;8
295;35;1
295;58;1
296;52;7
296;50;10
296;10;8
296;42;2
296;7;2
297;57;3
297;9;18
297;11;3
297;15;9
297;3;2
298;36;2
92;55;22
298;7;3
298;13;1
298;17;2
299;17;4
299;23;1
299;7;3
299;5;2
299;11;2
299;60;1
300;22;11
300;36;1
101;55;33
301;17;1
301;60;9
302;26;3
302;49;6
302;60;16
302;25;6
302;48;2
302;51;2
102;55;15
302;8;1
302;15;11
302;54;18
302;14;2
303;59;1
303;23;1
303;21;10
303;14;5
303;16;10
303;34;10
303;36;9
303;22;8
349;38;3
349;54;18
349;16;6
349;12;1
195;40;7
195;8;7
195;7;2
196;1;1
196;3;1
196;5;2
196;60;3
196;9;17
196;58;1
197;15;20
197;40;5
197;14;6
197;51;3
197;18;1
197;10;14
197;16;19
198;3;2
198;16;14
198;4;3
198;49;5
198;20;7
199;11;10
199;35;5
199;14;3
199;60;9
200;17;3
200;27;1
201;58;3
201;8;1
201;2;6
201;22;11
201;17;2
47;55;18
203;11;12
203;16;13
203;58;1
203;28;1
203;45;6
203;33;1
203;60;17
204;49;5
204;30;1
204;57;5
204;2;5
49;55;22
204;35;9
204;51;2
204;11;7
205;11;12
205;45;14
205;33;8
206;51;1
206;17;1
55;55;15
206;35;6
206;14;8
206;3;2
206;39;1
206;28;1
206;44;1
207;45;8
207;54;7
207;23;1
208;33;1
209;2;1
209;11;4
209;36;7
210;39;1
210;38;1
210;44;2
210;35;4
211;9;7
211;27;1
211;35;4
211;11;5
211;51;1
211;21;71
211;44;1
211;14;5
211;23;1
212;27;1
212;18;1
212;9;11
212;60;5
213;35;6
213;45;3
214;16;5
214;38;1
214;45;9
214;60;8
214;4;1
214;20;3
214;57;4
215;60;7
215;21;1
57;55;7
237;50;2
237;34;1
237;36;1
237;14;2
237;10;3
237;59;3
237;60;4
238;59;1
15;9;12
15;25;2
15;46;3
15;48;2
15;36;5
66;55;8
16;3;6
16;22;16
16;40;3
16;35;6
17;16;11
90;48;2
90;2;3
90;22;2
90;40;3
90;54;2
91;14;2
91;38;8
71;55;41
92;40;4
93;4;12
93;49;5
93;57;1
93;36;5
93;18;1
93;58;3
93;7;1
94;43;2
94;15;4
94;9;5
94;22;6
94;59;2
95;10;6
95;3;2
95;33;9
95;45;19
96;8;3
96;48;8
96;2;2
96;7;1
85;55;13
97;24;1
97;7;1
97;2;1
97;50;3
97;48;1
97;8;4
97;53;1
98;8;5
99;52;16
99;44;1
99;16;12
99;26;1
100;38;2
100;7;3
100;27;2
100;11;5
100;59;1
100;5;2
101;37;3
101;25;3
221;55;16
101;44;1
102;44;2
233;55;16
103;9;18
103;20;2
33;55;10
103;16;6
103;43;1
103;54;11
104;20;3
104;21;5
105;40;2
105;57;3
105;29;1
105;39;2
105;35;10
105;50;3
105;11;11
105;34;5
106;4;1
106;14;8
106;48;1
106;59;1
106;7;1
106;15;23
106;54;10
107;3;2
107;16;22
107;37;6
107;8;1
107;59;5
108;40;1
108;38;3
108;37;3
109;59;2
109;15;6
109;52;6
1;49;5
41;55;11
1;53;1
1;9;16
45;22;12
46;52;5
46;34;2
46;14;5
46;18;1
326;55;14
46;46;2
47;24;1
47;4;5
332;55;3
47;17;2
336;55;21
47;16;14
47;51;3
47;9;19
48;29;1
48;21;2
49;19;12
49;48;2
49;13;1
339;55;6
49;3;2
49;2;9
50;51;1
50;9;19
50;47;3
50;20;16
50;19;7
50;45;16
51;3;3
51;43;3
51;45;18
51;8;4
51;23;1
51;9;23
52;34;4
52;35;3
52;51;2
53;10;6
53;16;2
54;9;6
54;4;2
54;35;1
54;43;1
55;35;3
55;19;4
55;47;2
55;14;4
55;24;1
118;55;22
56;54;8
56;20;2
56;1;3
57;30;1
57;15;13
57;16;9
57;20;3
57;7;2
264;55;5
58;36;3
58;37;5
58;47;20
59;43;1
59;22;8
59;19;7
59;49;2
61;2;4
61;7;1
61;30;1
61;19;14
62;33;1
62;50;2
62;35;5
63;15;10
63;16;8
63;19;2
63;14;1
64;3;1
64;36;5
266;55;2
65;36;5
65;19;1
65;22;5
65;10;3
65;45;7
66;16;4
66;45;6
66;23;1
268;55;29
67;14;5
67;24;1
67;17;3
67;50;5
67;5;1
67;18;2
304;49;5
304;33;5
304;39;3
304;36;14
3;16;9
3;15;17
4;15;7
4;31;1
5;31;1
5;2;3
5;52;8
5;45;8
12;4;1
276;55;8
12;36;3
12;22;9
12;24;4
13;53;2
13;43;1
13;40;3
68;43;3
68;39;1
68;25;1
68;50;5
68;12;1
69;20;2
69;26;1
69;16;14
70;2;4
70;18;1
70;35;3
70;28;1
70;33;5
71;21;6
71;9;9
279;55;23
72;28;2
72;18;1
72;16;18
72;51;4
72;17;4
72;22;12
72;25;3
73;18;1
73;11;16
74;16;5
74;49;4
3;6;1
74;14;4
74;3;1
75;18;2
75;19;6
75;50;3
304;55;24
76;35;1
76;48;3
77;38;3
77;34;6
77;8;4
77;10;3
77;16;17
78;20;10
78;49;6
310;55;5
78;4;4
79;34;12
79;18;1
79;54;13
79;44;3
79;38;29
79;11;6
79;7;3
80;38;17
80;35;1
80;9;21
80;22;12
80;46;7
81;45;3
81;9;7
81;19;2
82;10;3
82;19;2
82;15;9
83;10;2
83;8;1
83;15;12
84;48;2
84;34;3
84;7;1
84;37;1
311;55;15
85;14;4
85;22;5
85;9;6
85;3;1
85;50;11
174;55;15
85;34;7
85;53;1
86;19;4
86;3;3
86;33;3
87;35;1
87;37;5
87;12;1
87;58;1
216;14;3
216;2;3
216;4;3
216;38;6
217;15;12
217;7;1
218;14;5
218;60;2
218;43;2
218;49;5
218;24;2
218;15;9
218;40;1
218;58;1
218;54;20
219;25;1
219;33;1
219;37;1
219;29;1
220;48;2
220;29;2
220;36;1
220;12;2
220;54;15
179;55;10
221;15;18
221;54;14
221;51;1
221;4;1
192;55;9
221;33;8
221;39;16
221;34;8
222;54;15
222;57;2
222;29;1
222;39;37
222;38;48
222;2;4
222;11;13
222;16;17
222;17;1
223;57;2
223;25;1
223;23;1
223;37;12
223;50;6
223;59;2
223;42;1
223;35;18
224;21;3
224;2;2
224;54;19
225;14;6
225;18;2
245;55;8
225;37;26
225;36;15
225;33;11
226;34;32
226;59;2
226;2;3
226;48;3
226;18;2
226;26;1
227;16;13
227;14;8
227;5;1
227;2;2
227;13;1
227;51;1
227;20;5
228;45;6
228;40;6
228;14;8
228;54;17
228;35;19
228;21;7
228;11;3
229;45;4
229;52;5
229;48;2
229;36;13
229;17;1
230;41;2
230;3;3
230;52;6
230;22;6
231;14;9
231;39;10
231;45;8
232;40;16
232;25;2
232;41;4
232;58;3
232;29;4
233;39;52
258;55;10
234;54;23
234;38;72
234;25;2
234;45;32
234;39;39
234;48;1
234;22;16
234;42;2
235;15;7
235;48;3
236;60;4
236;35;1
236;22;3
236;49;2
260;17;2
260;35;3
260;58;2
260;50;9
260;1;2
260;34;5
260;8;2
260;59;1
2;37;1
2;9;8
2;1;1
2;46;4
2;23;1
23;20;4
23;37;1
23;53;2
23;19;12
24;9;31
24;12;3
24;35;6
24;49;2
25;43;1
25;4;2
25;9;6
25;34;4
25;16;7
26;52;8
26;36;2
26;24;1
26;13;1
26;16;9
27;36;3
27;25;1
27;51;3
28;33;4
28;19;7
28;18;1
28;20;5
28;35;3
29;22;9
29;15;13
29;51;2
30;47;4
31;52;3
31;45;1
31;44;1
31;4;1
32;52;5
32;25;1
362;55;14
32;43;2
32;39;1
33;20;4
33;33;2
33;25;2
363;55;11
33;51;2
34;54;8
34;45;7
34;47;2
34;23;1
34;10;4
35;14;4
35;51;1
35;18;1
35;46;3
35;16;11
35;43;1
35;57;1
36;13;1
36;9;17
36;16;10
36;43;1
36;50;11
36;19;5
37;19;2
37;50;6
37;23;3
38;52;8
38;15;5
38;21;1
39;15;19
39;25;1
39;9;23
40;50;5
40;33;5
40;34;4
40;40;1
41;45;14
41;47;3
41;30;1
154;55;12
41;57;1
41;2;5
41;16;16
41;28;1
42;43;1
42;20;20
42;33;4
43;35;1
43;14;4
43;19;10
43;2;5
45;20;7
161;55;8
326;9;16
165;55;15
326;33;1
326;50;2
327;24;2
327;52;10
327;36;3
327;43;1
327;20;1
327;3;4
327;11;5
327;49;1
328;16;9
328;22;9
171;55;12
328;33;1
328;45;11
328;34;6
328;14;3
328;54;19
329;29;1
329;9;32
329;45;12
329;15;20
329;38;5
329;10;12
329;21;3
330;45;9
330;38;7
330;16;7
330;22;10
330;24;1
330;8;3
331;60;3
331;30;1
332;33;1
332;41;3
332;15;8
332;14;3
283;55;13
332;24;2
333;14;5
333;37;4
333;40;1
333;11;3
334;37;2
334;52;5
334;49;1
334;34;5
334;16;3
335;12;1
335;45;3
336;58;2
336;35;1
336;9;14
336;8;1
336;2;1
291;55;9
336;43;2
337;41;3
337;8;1
337;35;6
338;8;1
338;54;8
338;3;3
339;23;1
339;11;8
339;45;5
292;55;12
340;54;6
340;14;3
340;45;2
340;17;1
340;51;2
341;37;1
341;16;2
342;10;3
342;54;10
343;38;10
343;7;1
343;43;3
343;16;7
344;29;1
344;37;1
344;60;7
344;16;9
344;34;2
345;39;1
345;21;8
345;13;1
345;41;5
345;60;16
345;38;4
345;52;12
346;28;1
347;24;1
347;57;1
348;11;13
348;60;9
348;50;5
348;17;3
348;36;7
348;22;7
350;60;20
350;42;1
350;30;1
350;57;4
350;35;2
350;17;3
350;40;2
350;59;1
350;15;25
6;10;4
6;46;2
6;17;3
6;23;1
